#nodeA	nodeB	score1
C00585	C03721	NaN
C00591	C01064	NaN
C00591	C01200	NaN
C01200	C00686	NaN
C00599	C03238	NaN
C00601	C02455	NaN
C00601	C07086	NaN
C00613	C03022	NaN
C00618	C00800	NaN
C00625	C00686	NaN
C00625	C03000	NaN
C00630	C03460	NaN
C03460	C06000	NaN
C00632	C05640	NaN
C04637	C01245	NaN
C04637	C01277	NaN
C04637	C05981	NaN
C04637	C11557	NaN
C01879	C03740	NaN
C00694	C04855	NaN
C00694	C04890	NaN
C00694	C04891	NaN
C00695	C01794	NaN
C00717	C01370	NaN
C00738	C02965	NaN
C02965	C01171	NaN
C01054	C01724	NaN
C00756	C01545	NaN
C00762	C03588	NaN
C00777	C11061	NaN
C00777	C16677	NaN
C00777	C16679	NaN
C00777	C16680	NaN
C00780	C05634	NaN
C05634	C05635	NaN
C00804	C05985	NaN
C00818	C02670	NaN
C00828	C05819	NaN
C00828	C20265	NaN
C05819	C20265	NaN
C00829	C14786	NaN
C00829	C14787	NaN
C14786	C06205	NaN
C14787	C06205	NaN
C00831	C01134	NaN
C01134	C00882	NaN
C00835	C02953	NaN
C00842	C02097	NaN
C00842	C11907	NaN
C00856	C02967	NaN
C00857	C01185	NaN
C00864	C03492	NaN
C00868	C02764	NaN
C00870	C03360	NaN
C00870	C06604	NaN
C00870	C06606	NaN
C06604	C06606	NaN
C06604	C06607	NaN
C06606	C06608	NaN
C05668	C01013	NaN
C00899	C03455	NaN
C00906	C05100	NaN
C00909	C02165	NaN
C02165	C04853	NaN
C00911	C02520	NaN
C01024	C01051	NaN
C05141	C05504	NaN
C05301	C05302	NaN
C00956	C04076	NaN
C04076	C03366	NaN
C04076	C05535	NaN
C01003	C03875	NaN
C04281	C05947	NaN
C01019	C02475	NaN
C01051	C03263	NaN
C01033	C03345	NaN
C03345	C04405	NaN
C03345	C15980	NaN
C01036	C01061	NaN
C03263	C01079	NaN
C01724	C05109	NaN
C01724	C11455	NaN
C01078	C04398	NaN
C01097	C03785	NaN
C01117	C04212	NaN
C01132	C03272	NaN
C01132	C04925	NaN
C01132	C06135	NaN
C03272	C04925	NaN
C01141	C04141	NaN
C01149	C01181	NaN
C01161	C04043	NaN
C01161	C05582	NaN
C04043	C03758	NaN
C05582	C05581	NaN
C01189	C03845	NaN
C01189	C05111	NaN
C01189	C05439	NaN
C03845	C05437	NaN
C05111	C05110	NaN
C05439	C05437	NaN
C01277	C11554	NaN
C04549	C11554	NaN
C04549	C11556	NaN
C01204	C01284	NaN
C01204	C04563	NaN
C01204	C04579	NaN
C01204	C11174	NaN
C01204	C11526	NaN
C01204	C15990	NaN
C01204	C15991	NaN
C01284	C01245	NaN
C01284	C04520	NaN
C01284	C11555	NaN
C11174	C20690	NaN
C11526	C20690	NaN
C05744	C04618	NaN
C05746	C05747	NaN
C05750	C04620	NaN
C05753	C04619	NaN
C05756	C05757	NaN
C05759	C04688	NaN
C05762	C04633	NaN
C01211	C02188	NaN
C01211	C04487	NaN
C02188	C05544	NaN
C02188	C05545	NaN
C04487	C04759	NaN
C01220	C01245	NaN
C01245	C01272	NaN
C01245	C11555	NaN
C01227	C05139	NaN
C01228	C04494	NaN
C01239	C04375	NaN
C04375	C02871	NaN
C01240	C03418	NaN
C01243	C01272	NaN
C01243	C04063	NaN
C01243	C04477	NaN
C01256	C01293	NaN
C11554	C05981	NaN
C01308	C04726	NaN
C01450	C01612	NaN
C01516	C01735	NaN
C01516	C06174	NaN
C01516	C11785	NaN
C01516	C16578	NaN
C01516	C16643	NaN
C06174	C16577	NaN
C01525	C02318	NaN
C01528	C05172	NaN
C01528	C05684	NaN
C05172	C06482	NaN
C01573	C02872	NaN
C01573	C04441	NaN
C01573	C16720	NaN
C04441	C04692	NaN
C04441	C20663	NaN
C16720	C04692	NaN
C01598	C05643	NaN
C01628	C05850	NaN
C01628	C16711	NaN
C01647	C05336	NaN
C05336	C05335	NaN
C01664	C03636	NaN
C01672	C16565	NaN
C01702	C02687	NaN
C01736	C15587	NaN
C15587	C20463	NaN
C01753	C08821	NaN
C08821	C15783	NaN
